"ID","name","exitDataSet","lastElection","termsServed","finalVotePct","Party","needGhostRow"
8489,"JONES, Henry Frank",1,"1963-04-08",3,53.27,"P.C.",1
8496,"HORNER, Albert",1,"1965-11-08",3,49.31,"P.C.",1
8499,"CLANCY, Gordon Drummond",1,"1965-11-08",3,47.52,"P.C.",1
8501,"NIELSEN, Erik",1,"1984-09-04",10,56.8,"P.C.",1
8502,"DOUCETT, George H.",1,"1963-04-08",3,56.83,"P.C.",1
8503,"SMITH, Sidney Earle",1,"1958-03-31",1,69.38,"P.C.",1
8508,"BIGG, Jack",1,"1968-06-25",4,58.82,"P.C.",1
8518,"SKOREYKO, William M.",1,"1974-07-08",6,51.86,"P.C.",1
8526,"HORNER, Hugh M.",1,"1965-11-08",3,58.8,"P.C.",1
8529,"GUNDLOCK, Deane Roscoe",1,"1968-06-25",4,44.95,"P.C.",1
8586,"FORBES, R. Elmer",1,"1965-11-08",3,39.94,"P.C.",1
8634,"LEGERE, Felton Fenwick",1,"1962-06-18",1,49.54,"P.C.",1
8657,"BADANAI, Hubert",1,"1968-06-25",4,42.01,"Lib",1
8716,"WEICHEL, O.W. Mike",1,"1963-04-08",2,43.38,"P.C.",1
8748,"ASSELIN, Martial",1,"1968-06-25",1,41.85,"P.C.",1
8765,"PIGEON, Louis Joseph",1,"1963-04-08",2,42.56,"P.C.",1
8793,"LAMONTAGNE, Maurice",1,"1965-11-08",1,59.41,"Lib",1
8808,"LESSARD, H. Pit",1,"1968-06-25",4,68.7,"Lib",1
8815,"RINFRET, Maurice",1,"1965-11-08",2,44.11,"Lib",1
8831,"RAPP, Reynold",1,"1965-11-08",3,54.76,"P.C.",1
8833,"HANBIDGE, Robert L.",1,"1962-06-18",1,41.49,"P.C.",1
8834,"KORCHINSKI, Stan",1,"1980-02-18",8,41.61,"P.C.",1
8841,"COOPER, C.O.",1,"1963-04-08",2,55.41,"P.C.",1
8846,"MCINTOSH, Jack",1,"1968-06-25",4,39.6,"P.C.",1
8858,"WEBB, Rod",1,"1965-11-08",3,64,"P.C.",1
8859,"TARDIF, Paul",1,"1965-11-08",3,55.87,"Lib",1
8861,"FLEMMING, Hugh John",1,"1968-06-25",4,62.76,"P.C.",1
8864,"LAMARSH, Judy",1,"1965-11-08",3,60.11,"Lib",1
8870,"CLERMONT, Gaston",1,"1974-07-08",3,60.15,"Lib",1
8877,"DUBE, Jean Eudes",1,"1974-07-08",5,55.52,"Lib",1
8926,"MOORE, Harry A.",1,"1968-06-25",3,64.78,"P.C.",1
8954,"MATHER, Barry",1,"1972-10-30",4,47.4,"N.D.P.",1
8961,"NICHOLSON, Jack R.",1,"1965-11-08",2,40.08,"Lib",1
8966,"WEBSTER, Arnold Alexander",1,"1963-04-08",1,47.24,"N.D.P.",1
8972,"LAING, Arthur",1,"1968-06-25",3,49.26,"Lib",1
8976,"BASFORD, Ron",1,"1974-07-08",4,41.74,"Lib",1
9004,"TEILLET, Roger",1,"1965-11-08",2,41.82,"Lib",1
9019,"MCLEAN, Allan",1,"1965-11-08",2,50.83,"Lib",1
9022,"CROSSMAN, Guy",1,"1968-06-25",3,53.32,"Lib",1
9031,"FAIRWEATHER, Gordon",1,"1974-07-08",5,43.35,"P.C.",1
9038,"RIDEOUT, Sherwood H.",1,"1963-04-08",1,48.13,"Lib",1
9090,"BROWN, James E.",1,"1968-06-25",3,39.81,"Lib",1
9093,"PENNELL, Larry T.",1,"1965-11-08",2,50.88,"Lib",1
9107,"SCOTT, Reid",1,"1965-11-08",2,48.95,"N.D.P.",1
9110,"GORDON, Walter L.",1,"1965-11-08",2,58.38,"Lib",1
9117,"SHARP, Mitchell",1,"1974-07-08",4,48.82,"Lib",1
9126,"WHELAN, Eugene F.",1,"1980-02-18",7,51.29,"Lib",1
9129,"GRAY, Herb",1,"2000-11-27",12,54.21,"Lib",1
9135,"ETHIER, Viateur",1,"1968-06-25",3,62.01,"Lib",1
9147,"HARLEY, Harry C.",1,"1965-11-08",2,47.8,"Lib",1
9150,"MUNRO, John Carr",1,"1980-02-18",7,41.81,"Lib",1
9168,"BENSON, Edgar John",1,"1968-06-25",3,49.69,"Lib",1
9170,"FOY, Walter Frank",1,"1965-11-08",2,39.54,"Lib",1
9222,"BEER, Bruce S.",1,"1968-06-25",3,47.3,"Lib",1
9232,"ALKENBRACK, Douglas",1,"1974-07-08",5,48.26,"P.C.",1
9241,"MACDONALD, Donald S.",1,"1974-07-08",5,49.13,"Lib",1
9259,"LAMOUREUX, Lucien",1,"1972-10-30",4,52.64,"Ind.",1
9279,"CHAPLIN, Gordon",1,"1963-04-08",1,40.93,"P.C.",1
9291,"MORISON, John",1,"1968-06-25",2,41.34,"Lib",1
9293,"WALKER, James E.",1,"1972-10-30",4,41.93,"Lib",1
9298,"ADDISON, John",1,"1965-11-08",2,40.37,"Lib",1
9303,"KELLY, Red",1,"1963-04-08",1,51.43,"Lib",1
9324,"LANIEL, Gerald",1,"1980-02-18",7,73.14,"Lib",1
9329,"BECHARD, Albert",1,"1974-07-08",5,61.29,"Lib",1
9335,"PILON, Bernard",1,"1968-06-25",3,66.32,"Lib",1
9339,"LAPRISE, Gerard",1,"1974-07-08",5,56.52,"Ind.",1
9342,"BELANGER, L.P. Antoine",1,"1963-04-08",1,36.91,"Ind.",1
9344,"COTE, Maurice",1,"1963-04-08",1,46.63,"Ind.",1
9377,"LESSARD, Marcel",1,"1979-05-22",3,52.59,"Lib",1
9380,"LACHANCE, Georges. C.",1,"1972-10-30",4,47.73,"Lib",1
9384,"GREGOIRE, Gilles",1,"1965-11-08",2,49.61,"Ind.",1
9389,"ROCHON, Jean L.",1,"1968-06-25",3,64.92,"Lib",1
9409,"LANGLOIS, Raymond",1,"1965-11-08",2,44.86,"Ind.",1
9411,"BOULANGER, Prosper",1,"1974-07-08",5,55.75,"Lib",1
9420,"VINCENT, Clement",1,"1965-11-08",2,63.76,"P.C.",1
9423,"ASSELIN, Edmund Tobin",1,"1963-04-08",1,64.5,"Lib",1
9434,"FRENETTE, Jean Louis",1,"1963-04-08",1,56.45,"Ind.",1
9439,"CANTIN, Jean Charles",1,"1968-06-25",3,64.31,"Lib",1
9456,"GENDRON, Rosaire",1,"1980-02-18",6,54.84,"Lib",1
9461,"DRURY, C.M.",1,"1974-07-08",5,57.61,"Lib",1
9493,"TURNER, John N.",1,"1974-07-08",5,53.37,"Lib",1
9498,"CADIEUX, Leo",1,"1968-06-25",3,52.9,"Lib",1
9537,"DOUGLAS, Tommy C.",1,"1965-11-08",2,52.93,"N.D.P.",1
9711,"GILBERT, John",1,"1974-07-08",3,39.91,"N.D.P.",1
9749,"MACALUSO, Joseph",1,"1965-11-08",1,43.25,"Lib",1
9765,"MCCUTCHEON, M.T. Mac",1,"1968-06-25",2,51.84,"P.C.",1
9777,"LIND, Jim",1,"1968-06-25",1,45.66,"Lib",1
9806,"GREENE, Joe",1,"1968-06-25",2,50.73,"Lib",1
9869,"LAVERDIERE, Herman",1,"1965-11-08",1,41.06,"Lib",1
